recordingId,recordingTitle,songId,albumId,discNumber,trackNumber,versionType,artistsJson,notes
d783e6c5-761f-4fc3-bfcf-6089cdfc8f96,"Love Story","SONG_LOVE_STORY","ALBUM_K_FEARLESS",1,3,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
9df0940c-b7cd-4bb8-90d6-8734d95ce0bf,"Hey Stephen","SONG_HEY_STEPHEN","ALBUM_K_FEARLESS",1,4,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
559668f2-4e7a-4990-96f7-036c7bd556a1,"White Horse","SONG_WHITE_HORSE","ALBUM_K_FEARLESS",1,5,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
3e3cadd9-74d9-4718-87a3-8071386a8af8,"You Belong With Me","SONG_YOU_BELONG_WITH_ME","ALBUM_K_FEARLESS",1,6,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
55b11483-8786-4e78-88f5-e0a3e4765e84,"Breathe","SONG_BREATHE","ALBUM_K_FEARLESS",1,7,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}, {""artistId"": ""ARTIST_COLBIE_CAILLAT"", ""artistName"": ""Colbie Caillat"", ""role"": ""Featured""}]","feat. Colbie Caillat"
b9739ef2-3b76-4fed-8081-8328f45990a9,"Tell Me Why","SONG_TELL_ME_WHY","ALBUM_K_FEARLESS",1,8,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
5917e8ea-60de-46fa-8630-ddd12ee55bfe,"You’re Not Sorry","SONG_YOURE_NOT_SORRY","ALBUM_K_FEARLESS",1,9,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
26b14fbc-8c89-4d15-ab44-fbb656cfc29f,"The Way I Loved You","SONG_THE_WAY_I_LOVED_YOU","ALBUM_K_FEARLESS",1,10,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
3d57c263-f827-4e71-b24d-7420e16aa18d,"Forever & Always","SONG_FOREVER_AND_ALWAYS","ALBUM_K_FEARLESS",1,11,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
cbdd1b4e-2c50-44b2-9cb2-0bcc6011930b,"The Best Day","SONG_THE_BEST_DAY","ALBUM_K_FEARLESS",1,12,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
